"","ID","country","GENDER","AGE","EDU","INC","JOB","Q1_1","Q1_2","Q1_SQ1_1","Q1_SQ1_2","Q1_SQ1_3","Q1_SQ1_4","Q1_SQ1_5","Q1_SQ2","Q1_SQ3","Q1_SQ4","Q2","Q3","Q3_SQ_1","Q3_SQ_2","Q3_SQ_3","Q3_SQ_4","Q3_SQ_5","Q3_SQ_6","Q4_1","Q4_2","Q4_3","Q4_SQ","Q5","Q5_SQ1_1","Q5_SQ1_2","Q5_SQ2_1","Q5_SQ2_2","Q6_1","Q6_2","Q6_3","Q7","Q8_1","Q8_2","Q9_1","Q9_2","Q10","Q11","Q12","Q13_1","Q13_2","Q13_3","Q14","Q15","Q16","Q16_SQ1_1","Q16_SQ1_2","Q16_SQ2_1","Q16_SQ2_2","Q17","Q18","Q19","Q20_1","Q20_2","Q20_3","Q20_4","Q20_5","Q20_6","Q20_7","Q20_8","Q20_9","Q20_10","Q21","Q22_1","Q22_2","Q22_3","Q22_4","Q22_5","Q22_6","Q22_7","Q22_8","Q22_9","Q22_10","Q22_11","Q22_12","Q22_13","Q22_14","Q23","Q24","Q25","Q26","Q27","Q27_SQ1_1","Q27_SQ1_2","Q27_SQ1_3","Q27_SQ1_4","Q27_SQ1_5","Q27_SQ2_1","Q27_SQ2_2","Q27_SQ2_3","Q27_SQ2_4","Q27_SQ2_5","Q28","Q29","Q30","Q31_1","Q31_2","Q32","Q33","Q34_1","Q34_2","Q34_3","Q34_4","Q34_5","Q34_6","Q34_7","Q34_8","Q34_9","Q34_10","Q35","Q36","Q37","Q37_1","Q37_2","Q37_3","Q37_4","Q37_5","Q37_6","Q37_7","Q37_8","Q37_9","Q37_10","Q38","Q39","Q40","Q41","Q42","Q42_SQ1","Q42_SQ2_1","Q42_SQ2_2","Q42_SQ2_3","Q42_SQ2_4","Q42_SQ2_5","Q42_SQ2_6","Q42_SQ3","Q43","Q44","Q45","Q46","Q47","Q48"
"775",506,"Korea",1,62,5,5,3,1,1,1,NA,NA,NA,NA,2,1,4,3,1,1,2,NA,NA,NA,NA,3,12,5,5,2,2,3,NA,NA,4,5,NA,4,3,3,2,4,3,3,2,3,4,1,1,1,2,1,2,NA,NA,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,3,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,2,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,4,6,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,1,2
"776",41,"Korea",1,30,3,6,2,2,1,1,NA,NA,NA,NA,2,1,2,3,3,NA,NA,NA,NA,NA,NA,3,2,5,5,2,1,2,NA,NA,3,5,8,3,3,3,4,4,3,3,1,1,2,6,2,1,2,2,4,NA,NA,7,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,1,1,2,3,4,NA,NA,NA,NA,NA,NA,1,4,5,1,2,2,4,2,3,4,7,NA,NA,NA,NA,NA,NA,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,5,2,NA,NA,NA,NA,NA,2,1,1,3,3,2,1
"777",505,"Korea",2,67,2,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,3,12,5,1,3,NA,NA,1,2,5,8,NA,4,2,3,2,3,3,3,1,1,2,3,2,2,2,2,4,NA,NA,3,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,2,2,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,2
"778",42,"Korea",1,45,5,5,3,2,1,1,NA,NA,NA,NA,2,2,2,3,1,2,NA,NA,NA,NA,NA,3,5,4,5,2,3,4,NA,NA,2,3,4,4,3,3,4,4,3,3,1,1,2,3,2,1,2,2,1,NA,NA,5,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,4,5,7,9,10,NA,NA,NA,NA,NA,NA,1,3,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,1,2,1,4,1,2,3,5,7,NA,NA,NA,NA,NA,2,3,1,1,4,6,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,3,2,NA,NA,NA,NA,NA,2,2,1,3,3,2,4
"779",504,"Korea",1,37,5,5,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,NA,NA,NA,NA,3,12,5,5,3,NA,NA,9,4,4,8,NA,4,3,3,2,4,3,2,2,3,8,6,2,2,2,1,2,NA,NA,3,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,2,2,2,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,1,2
"780",43,"Korea",1,23,3,6,10,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,3,5,12,5,3,NA,NA,2,4,1,4,8,4,3,3,4,4,3,3,1,1,2,6,2,2,2,1,4,NA,NA,5,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,4,5,7,10,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,1,2,2,4,1,2,3,4,5,7,8,NA,NA,NA,3,3,1,1,4,6,7,NA,NA,NA,NA,NA,NA,3,2,1,1,2,2,1,2,NA,NA,NA,NA,1,2,1,2,3,1,1
"781",502,"Korea",2,30,5,5,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,3,5,12,5,2,3,6,NA,NA,4,5,NA,4,2,3,2,2,3,2,1,1,3,8,2,1,2,2,NA,NA,NA,3,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,2,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,3,2,NA,NA,NA,NA,NA,2,2,2,2,2,1,2
"782",503,"Korea",1,51,5,6,6,1,1,1,NA,NA,NA,NA,4,4,4,3,1,2,NA,NA,NA,NA,NA,3,12,5,1,3,NA,NA,2,3,5,8,NA,4,2,3,2,4,3,3,1,1,2,3,2,2,2,2,1,NA,NA,6,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,2,2,2,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,4,6,7,NA,NA,NA,NA,NA,NA,3,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,2
"783",653,"Korea",1,35,5,11,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,12,11,5,NA,5,NA,NA,NA,NA,3,5,NA,4,1,3,2,4,3,4,1,1,2,6,2,2,2,1,2,NA,NA,6,4,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,3,2
"784",507,"Korea",1,26,5,7,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,3,12,5,5,3,NA,NA,1,2,4,5,NA,4,3,3,2,4,3,3,1,3,8,1,2,2,2,1,2,NA,NA,3,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,2,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2,2,4,NA,NA,NA,NA,2,1,1,2,3,1,2
"785",500,"Korea",2,55,3,5,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,3,12,5,1,3,NA,NA,1,9,5,8,NA,4,2,3,2,4,3,3,1,1,3,4,2,1,2,2,4,NA,NA,7,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,4,1,2,3,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,4,6,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,2
"786",659,"Korea",2,69,3,2,2,2,1,1,NA,NA,NA,NA,2,1,2,3,1,2,NA,NA,NA,NA,NA,11,12,3,1,2,1,3,NA,NA,3,5,NA,3,1,1,2,2,3,3,2,5,6,8,1,1,2,1,2,NA,NA,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,1,2,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,1,2
"787",657,"Korea",2,55,3,5,8,2,1,1,NA,NA,NA,NA,2,1,4,3,2,NA,NA,NA,NA,NA,NA,5,6,12,NA,3,NA,NA,2,7,3,9,NA,5,1,2,1,1,1,3,1,2,5,1,1,1,2,1,2,NA,NA,3,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,3,1,2
"788",665,"Korea",2,45,5,6,2,2,1,1,NA,NA,NA,NA,2,2,1,3,1,2,NA,NA,NA,NA,NA,12,5,3,5,1,7,6,NA,NA,2,9,10,5,1,1,3,2,1,3,1,1,3,2,1,3,4,NA,NA,2,4,4,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,4,5,7,8,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,1,2,3,4,2,3,4,6,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,4,1,4
"789",656,"Korea",1,56,5,5,2,2,1,1,NA,NA,NA,NA,2,3,2,3,1,2,NA,NA,NA,NA,NA,2,11,12,NA,2,1,3,NA,NA,3,5,NA,5,1,1,2,3,1,4,1,3,1,2,2,2,2,1,2,NA,NA,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,1,1,4,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,3,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,4,1,1
"790",667,"Korea",2,59,5,4,9,1,1,1,NA,NA,NA,NA,2,1,2,3,1,2,NA,NA,NA,NA,NA,3,11,12,1,1,3,1,NA,NA,5,NA,NA,3,2,1,2,5,3,2,1,1,6,5,2,1,2,1,3,NA,NA,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,1,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,2
"791",655,"Korea",2,48,3,4,9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,11,5,3,1,4,NA,NA,2,7,3,5,NA,4,1,2,2,1,3,4,1,1,2,6,2,2,2,1,2,NA,NA,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,1,2
"792",668,"Korea",1,69,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,12,11,5,NA,3,NA,NA,1,2,4,5,NA,4,1,1,2,1,3,2,1,1,2,6,2,2,5,NA,NA,NA,NA,4,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,1,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,1,2
"793",654,"Korea",1,42,5,4,6,2,1,1,NA,NA,NA,NA,2,2,3,3,2,NA,NA,NA,NA,NA,NA,3,5,11,4,3,NA,NA,1,7,5,NA,NA,5,2,1,2,1,3,3,2,1,2,8,2,2,5,NA,NA,NA,NA,4,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,1,2,3,2,2,3,6,NA,NA,NA,NA,NA,NA,NA,3,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,1,2
"794",651,"Korea",1,27,3,11,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,12,8,9,NA,2,1,2,NA,NA,4,NA,NA,3,2,1,2,1,3,3,2,1,2,7,1,2,2,1,3,NA,NA,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,1,2,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,1,3
"795",666,"Korea",1,53,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,12,11,5,NA,4,NA,NA,1,6,4,5,NA,4,1,2,2,1,3,3,2,1,2,5,2,3,3,NA,NA,4,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,2,1,2
"796",652,"Korea",2,29,5,5,3,2,1,1,NA,NA,NA,NA,2,1,2,2,1,2,NA,NA,NA,NA,NA,5,8,12,NA,2,3,5,NA,NA,4,5,NA,4,1,1,1,2,1,2,1,2,1,6,1,3,2,1,2,NA,NA,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,1,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,2,2,1,NA,NA,NA,NA,NA,1,1,2,2,5,1,2
"797",8,"Korea",2,43,5,5,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,3,10,12,1,3,NA,NA,9,1,2,7,11,4,3,3,1,1,3,3,3,1,3,9,1,2,5,NA,NA,NA,NA,7,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,2,6,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,4
"798",419,"Korea",2,19,4,5,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,NA,NA,NA,NA,12,3,9,5,2,3,4,NA,NA,2,7,10,4,2,2,2,2,3,2,1,4,1,6,1,1,2,1,2,NA,NA,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,2,2,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,2,2,2,NA,NA,NA,NA,NA,2,2,1,2,2,1,2
"799",465,"Korea",2,23,4,6,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,3,NA,NA,1,3,NA,NA,3,6,3,5,7,4,2,4,2,4,3,4,3,1,3,5,1,1,2,1,4,NA,NA,7,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,1,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,3
"800",434,"Korea",1,30,3,4,3,2,1,1,NA,NA,NA,NA,4,4,3,3,1,1,NA,NA,NA,NA,NA,3,8,NA,1,2,3,6,NA,NA,3,6,8,4,2,3,2,3,3,3,1,1,3,5,1,1,2,1,4,NA,NA,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,1,3
"801",439,"Korea",1,22,4,5,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,9,8,3,4,2,3,4,NA,NA,3,5,7,3,2,4,2,4,3,3,1,1,3,6,1,1,2,1,3,NA,NA,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,1,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,1,3
"802",454,"Korea",2,48,3,6,9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,3,NA,NA,1,2,3,7,NA,NA,3,6,9,4,2,3,2,2,3,3,1,1,2,6,1,3,2,1,5,NA,NA,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,1,3
"803",442,"Korea",2,67,3,5,2,2,1,1,NA,NA,NA,NA,4,4,2,3,1,1,NA,NA,NA,NA,NA,3,5,NA,1,5,NA,NA,NA,NA,3,6,8,3,2,3,2,2,3,3,1,1,2,5,1,1,2,1,5,NA,NA,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,2,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,3
"804",466,"Korea",1,34,3,6,3,2,1,1,NA,NA,NA,NA,4,4,2,3,1,1,2,NA,NA,NA,NA,3,8,9,1,2,3,7,NA,NA,3,6,7,3,2,4,2,4,3,3,1,1,3,6,1,1,2,1,5,NA,NA,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,2,3,4,NA,NA,NA,NA,2,1,1,2,3,1,3
"805",446,"Korea",2,65,4,6,2,2,1,1,NA,NA,NA,NA,4,4,2,3,1,1,NA,NA,NA,NA,NA,3,5,NA,1,2,3,5,NA,NA,3,6,9,3,2,3,2,2,3,3,1,2,3,5,2,3,3,NA,NA,3,5,7,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,2,3
"806",450,"Korea",2,54,3,4,3,2,1,1,NA,NA,NA,NA,4,4,2,3,1,1,NA,NA,NA,NA,NA,3,NA,NA,1,2,3,5,NA,NA,3,7,10,4,2,4,2,4,3,3,1,1,3,7,1,1,2,3,4,NA,NA,7,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,1,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,1,3
"807",452,"Korea",2,57,3,5,2,1,1,1,NA,NA,NA,NA,4,4,2,3,1,1,2,NA,NA,NA,NA,3,2,NA,1,5,NA,NA,NA,NA,3,5,7,3,2,3,2,4,3,3,1,1,3,6,1,1,2,1,4,NA,NA,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,1,3
"808",453,"Korea",2,59,3,4,2,2,1,1,NA,NA,NA,NA,4,4,2,3,1,1,NA,NA,NA,NA,NA,3,NA,NA,1,2,3,7,NA,NA,3,6,9,4,2,3,2,4,3,3,1,1,3,4,1,3,2,1,5,NA,NA,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,3
"809",422,"Korea",1,62,3,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,3,NA,NA,1,2,3,7,NA,NA,3,6,9,4,2,4,2,4,3,3,1,1,3,7,1,1,2,1,5,NA,NA,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,3
